,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2019-12-17,41352.171875,-1.0,0.178,0.748,0.074,41052.359375,41401.648438,41005.179688,19000.0
2019-12-18,41558.570313,-0.9999,0.146,0.782,0.072,41442.75,41614.769531,41358.46875,24300.0
2019-12-19,41673.921875,-0.9997,0.11,0.833,0.057,41571.820313,41719.289063,41456.398438,33300.0
2019-12-20,41681.539063,-0.9999,0.157,0.769,0.074,41746.199219,41809.960938,41636.109375,33600.0
2019-12-23,41642.660156,-0.9997,0.131,0.788,0.081,41548.261719,41701.621094,41474.609375,6200.0
2019-12-24,41461.261719,-0.9999,0.146,0.772,0.082,41684.511719,41702.980469,41423.070313,4400.0
2019-12-26,41163.761719,-0.9999,0.145,0.776,0.079,41543.800781,41543.800781,41132.890625,5600.0
2019-12-27,41575.140625,-0.9999,0.173,0.756,0.071,41297.078125,41611.269531,41264.921875,6100.0
2019-12-30,41558.0,-0.9999,0.17,0.755,0.076,41686.269531,41714.730469,41453.378906,5700.0
2019-12-31,41253.738281,-0.9999,0.159,0.761,0.08,41607.488281,41607.488281,41184.730469,5600.0
2020-01-02,41626.640625,-0.9997,0.125,0.796,0.079,41340.269531,41649.289063,41328.449219,5300.0
2020-01-03,41464.609375,-0.9963,0.103,0.805,0.092,41634.511719,41636.179688,41348.679688,8900.0
2020-01-06,40676.628906,-0.9996,0.104,0.839,0.057,41378.339844,41378.339844,40613.960938,8700.0
2020-01-07,40869.46875,-1.0,0.186,0.745,0.069,40983.039063,41230.140625,40727.371094,11900.0
2020-01-08,40817.738281,-0.9999,0.136,0.799,0.065,40574.828125,40866.359375,40476.550781,18200.0
2020-01-09,41452.351563,-0.9997,0.131,0.784,0.085,41216.671875,41482.121094,41175.71875,7800.0
2020-01-10,41599.71875,-0.9999,0.129,0.804,0.067,41568.199219,41775.109375,41447.800781,13200.0
2020-01-13,41859.691406,-0.9998,0.144,0.774,0.081,41788.210938,41899.628906,41720.761719,10600.0
2020-01-14,41952.628906,-0.9999,0.158,0.772,0.071,41883.089844,41994.261719,41770.898438,14100.0
2020-01-15,41872.730469,-0.9998,0.142,0.768,0.089,41969.859375,41969.859375,41648.109375,6100.0
2020-01-16,41932.558594,-0.9998,0.13,0.801,0.07,41924.738281,42059.449219,41812.28125,6600.0
2020-01-17,41945.371094,-0.9999,0.156,0.779,0.065,41929.019531,42063.929688,41850.289063,9500.0
2020-01-20,41528.910156,-0.9997,0.115,0.819,0.066,42263.0,42273.871094,41503.371094,7500.0
